name,description,material_name
Misanthropy,"At the end of this creature's turn, it attacks two random enemies.",Berserker Sweat
Otherworld,Enemies take 20% more indirect damage. This trait does not stack.,
Year of the Trollboar,"After this creature Provokes, it deals damage to a random enemy equal to 25% of its Intelligence. This effect repeats once for every 5% Health this creature is missing.",Trollboar Lantern
Sadism,"At the start of this creature's turn, enemies take damage equal to 15% of their Current Health.",King Sweat
Fan of Knives,"After an ally Attacks, this creature deals damage to the target equal to 20% of its Speed.",Knife Juggler Sweat
Skull Bash,"At the end of this creature's turn, it has a 50% chance to send a random enemy to the bottom of the Timeline.",Necksnapper Sweat
Rude Awakening,"After an enemy is resurrected, this creature deals damage to it equal to 50% of the enemy's Current Health.",Youngster Sweat
Master of Trolls,Your Trolls have 25% more Attack and 10% less Intelligence for each Troll fighting on your side. This trait does not stack.,Sigil of the Troll
Dispossession,Your creatures take 50% less damage as a result of their class strength. This trait does not stack.,Dimensional Stardust
Mesmer,"After this creature damages an enemy, the enemy's class is changed to this creature's class weakness. This trait does not stack.",Demolisher Stardust
Capitalize,Your creatures deal 75% more damage as a result of their class strength. This trait does not stack.,Errant Stardust
Quantum Flux,"After your creatures take damage from an enemy, their class is changed to the enemy's class weakness. This trait does not stack.",Merciful Stardust
Bloodline,Your creatures always deal damage as if they are strong against their enemy's class. This trait does not stack.,Psychic Stardust
Details Matter,Your creatures always take damage as if they are strong against their enemy's class. This trait does not stack.,Sadist Stardust
Master of Unguideds,"If all the creatures in your party are Unguided, they deal 150% more damage to creatures that are weak against their class.",Sigil of the Unguided
Circle of Life,"After this creature Attacks, it heals allies for 50% of the damage dealt.",Consecrator Horseshoe
Eruption,"After this creature Attacks, it has a 50% chance to Cast Volcano.",Firewalker Horseshoe
Divine Mending,"After this creature Attacks, it heals its ally with the lowest health for 200% of the damage dealt.",Holycaster Horseshoe
Chrysaor's Ambition,"After this creature attacks, it gives a random ally 2 random buffs.",Pegasus Horseshoe
Righteous Winds,"After this creature Attacks, it increases a random ally's Attack and Intelligence by 50%.",Stormbringer Horseshoe
Spur of the Heavens,"After this creature Attacks, it has a 50% chance to move a random ally to the top of the Timeline.",Thundercracker Horseshoe
Reinvigoration,"After this creature Attacks, it resurrects a random ally with 50% Health.",Vivifier Horseshoe
Qila's Assurance,"After your creatures' Barrier buffs are destroyed, they gain Invisible.",Qila's Mane
Qila's Defiance,"While your creatures have Barrier, they are resistant to debuffs.",Qila's Wing
Qila's Safeguard,"While your creatures have Barrier, they take 40% less damage. This trait does not stack.",Qila's Horn
Master of Unicorns,Your Unicorns Attack 2 additional times. This trait does not stack.,Sigil of the Unicorns
Refraction,"After an enemy targets one of your creatures with a single-target spell, this creature Casts the same spell on the enemy.",Champion Rapier
Goad,Your creatures adjacent to this creature attack 2 additional times.,Duelist Rapier
Savior,This creature takes 50% of the damage in place of your other creatures from attacks and spells. This trait does not stack.,Knight Rapier
Thorns,"After your creatures are Attacked, they deal damage equal to 25% of their Attack to the enemy.",Lancer Rapier
Illumina,"After your creatures Attack, they have a 35% chance to gain a Barrier that absorbs damage equal to 50% of their Maximum Health. This trait does not stack.",Priestess Rapier
Sentinel,This creature and the creatures adjacent to this creature always have Taunting and Defensive.,Queen Rapier
Fight or Flight,"After your other creatures are Attacked by an enemy, this creature Attacks the enemy for 50% normal damage.",Scout Rapier
Second Wind,"After your creatures are Attacked, they recover Health equal to 25% of their Maximum Health.",Shieldmaiden Rapier
Master of Valkyries,"At the end of your Valkyries' turns, they Defend. This trait does not stack.",Sigil of the Valkryrie
Shadow Bulwark,"This creature always has Repelling, and takes 90% less indirect damage.",Angel Heart
Aether Eyes,Your creatures' Repelling buffs now have a 35% chance to ignore damage from attacks. This trait does not stack.,Devil Heart
Esoteric Alteration,Your creatures' Repelling buffs now have a 60% chance to prevent damage from spells. This trait does not stack.,Werewolf Heart
Contortion,"After your creatures with Repelling take damage from attacks or spells, they reflect 50% of the damage taken back on the enemy. This trait does not stack.",Imperial Heart
Return to Source,Your creatures' Repelling buffs now give them a 50% chance to avoid being afflicted by debuffs. This trait does not stack.,Subversive Heart
Mind Fortress,"After your creatures take damage from a spell, they gain Repelling.",Vampire Heart
Master of Voidlords,"If all the creatures in your party are Voidlords, they always have Repelling and take 30% less damage. This trait does not stack.",Sigil of the Voidlord
Impedance,"At the start of battle, this creature Seals one of each enemy's Spell Gems. This trait does not stack.",Cerebral Wind
Simulacrum,"When an enemy Casts a spell, this creature has a 35% chance to negate the spell. When this happens, this creature gains a copy of that Spell Gem. This trait does not stack.",Consuming Wind
Squall,"After an enemy is afflicted with a debuff, this creature Casts a random spell. This trait can only activate once per turn.",Evil Wind
Stifle,"After an enemy Casts a spell, this creature afflicts enemies with Silenced.",Mana Wind
Disturbance,"After an enemy manually Casts a spell, your creatures gain a copy of that Spell Gem.",Observer Wind
Ovular Barrage,"After this creature is Attacked, it Casts Verdant Spheres on the enemy.",Ovoid Egg
Mindbender,"When your creatures would take damage from spells, they have a 30% chance to ignore that damage. This trait does not stack.",Psychic Wind
Spiral Ward,This creature takes 2% less damage from spells (up to 90%) for every 1% Health it is missing.,Sulfuric Wind
Expansion,"After this creature takes damage, it gains Attack equal to 50% of the damage it took.",Untamed Wind
Master of Vortexes,"At the start of battle, your Vortexes gain the Spiral Ward trait. In addition, Spiral Ward now works with indirect damage as well.",Sigil of the Vortex
Metaphysics,Your creatures deal 75% more damage with spells that don't belong to their class. This trait does not stack.,Arcus Ear
Zerda,"Your creatures' first 3 non-Ethereal, healing Spell Gems each have a 20% chance to be Cast automatically at the start of battle. This trait does not stack.",Cosmos Ear
Corsac,"This creature's first 3 non-Ethereal, healing Spell Gems each have a 50% chance to be Cast automatically at the start of battle.",Decaying Ear
Naturalization,Your creatures take 4% less damage for each non-Ethereal Spell Gem they have. Maximum of 90% damage reduction. This trait does not stack.,Incandescent Ear
Lagopus,"Your creatures' first 3 non-Ethereal, stat-manipulating Spell Gems each have a 20% chance to be Cast automatically at the start of battle. This trait does not stack.",Lost Ear
Cana,"This creature's first 3 non-Ethereal, damaging Spell Gems each have a 50% chance to be Cast automatically at the start of battle.",Skyward Ear
Velox,"This creature's first 3 non-Ethereal, stat-manipulating Spell Gems each have a 50% chance to be Cast automatically at the start of battle.",Spirit Ear
Pallida,"Your creatures' first 3 non-Ethereal, damaging Spell Gems each have a 20% chance to be Cast automatically at the start of battle. This trait does not stack.",Terra Ear
Cyhra's Adamance,Your creatures deal 50% more damage for each time they've been resurrected in the current battle. This trait does not stack.,Cyhra's Adamance
Cyhra's Resilience,Your creatures take 15% less damage for each dead ally. This trait does not stack.,Cyhra's Broken Whiskers
